StudentID,Profile,From,To,Relation,ScientificAdequacy
S01,Naive,A4,D2,explains,invalid
S01,Naive,A3,D4,modulates,invalid
S01,Naive,A2,D2,confused_with,invalid
S01,Naive,A2,D5,influences,valid
S02,Naive,A5,D1,confused_with,invalid
S02,Naive,A1,D3,explains,invalid
S02,Naive,A3,D4,modulates,invalid
S02,Naive,A4,D5,explains,valid
S03,Naive,A2,D2,confused_with,invalid
S03,Naive,A4,D2,explains,invalid
S03,Naive,A5,D1,confused_with,invalid
S03,Naive,A3,A1,bootstraps,valid
S04,Naive,A5,D1,confused_with,invalid
S04,Naive,A2,D2,confused_with,invalid
S04,Naive,A1,D3,explains,invalid
S04,Naive,A2,D5,influences,valid
S05,Naive,A5,D1,confused_with,invalid
S05,Naive,A3,D4,modulates,invalid
S05,Naive,A1,D3,explains,invalid
S05,Naive,A4,D5,explains,valid
S06,Naive,A2,D2,confused_with,invalid
S06,Naive,A1,D3,explains,invalid
S06,Naive,A4,D2,explains,invalid
S06,Naive,A3,A1,bootstraps,valid
S07,Naive,A4,D2,explains,invalid
S07,Naive,A5,D1,confused_with,invalid
S07,Naive,A3,D4,modulates,invalid
S07,Naive,A5,D4,explains,valid
S08,Naive,A1,D3,explains,invalid
S08,Naive,A3,D4,modulates,invalid
S08,Naive,A5,D1,confused_with,invalid
S08,Naive,A3,A1,bootstraps,valid
S09,Naive,A5,D1,confused_with,invalid
S09,Naive,A2,D2,confused_with,invalid
S09,Naive,A1,D3,explains,invalid
S09,Naive,A2,D5,influences,valid
S10,Naive,A5,D1,confused_with,invalid
S10,Naive,A3,D4,modulates,invalid
S10,Naive,A2,D2,confused_with,invalid
S10,Naive,A4,D5,explains,valid
S11,Mixed,A5,D4,explains,valid
S11,Mixed,A3,A1,bootstraps,valid
S11,Mixed,A4,D2,explains,invalid
S11,Mixed,A5,D1,confused_with,invalid
S12,Mixed,A3,A1,bootstraps,valid
S12,Mixed,A5,D4,explains,valid
S12,Mixed,A3,D4,modulates,invalid
S12,Mixed,A5,D1,confused_with,invalid
S13,Mixed,A5,D4,explains,valid
S13,Mixed,A1,D1,modulates,valid
S13,Mixed,A2,D2,confused_with,invalid
S13,Mixed,A4,D2,explains,invalid
S14,Mixed,A3,A1,bootstraps,valid
S14,Mixed,A2,D5,influences,valid
S14,Mixed,A1,D3,explains,invalid
S14,Mixed,A2,D2,confused_with,invalid
S15,Mixed,A5,D4,explains,valid
S15,Mixed,A3,A1,bootstraps,valid
S15,Mixed,A4,D2,explains,invalid
S15,Mixed,A1,D3,explains,invalid
S16,Mixed,A1,D1,modulates,valid
S16,Mixed,A3,A1,bootstraps,valid
S16,Mixed,A4,D2,explains,invalid
S16,Mixed,A5,D1,confused_with,invalid
S17,Mixed,A3,A1,bootstraps,valid
S17,Mixed,A2,D5,influences,valid
S17,Mixed,A2,D2,confused_with,invalid
S17,Mixed,A1,D3,explains,invalid
S18,Mixed,A1,D1,modulates,valid
S18,Mixed,A5,D4,explains,valid
S18,Mixed,A3,D4,modulates,invalid
S18,Mixed,A5,D1,confused_with,invalid
S19,Mixed,A3,A1,bootstraps,valid
S19,Mixed,A1,D1,modulates,valid
S19,Mixed,A2,D2,confused_with,invalid
S19,Mixed,A1,D3,explains,invalid
S20,Mixed,A5,D4,explains,valid
