StudentID,Profile,M1,M2,M3,M4,M5,M6,M7
S01,Naive,1,1,1,1,1,1,0
S02,Naive,1,0,1,1,1,1,0
S03,Naive,1,1,0,1,1,1,0
S04,Naive,1,1,1,1,1,1,0
S05,Naive,1,1,1,1,1,1,0
S06,Naive,1,1,1,1,1,1,0
S07,Naive,1,1,1,1,1,1,0
S08,Naive,1,1,1,1,1,1,1
S09,Naive,1,1,1,1,1,1,0
S10,Naive,1,1,1,1,0,0,0
S11,Mixed,1,1,0,1,0,1,1
S12,Mixed,1,0,0,1,0,1,1
S13,Mixed,0,1,0,1,0,1,1
S14,Mixed,1,0,0,1,0,1,1
S15,Mixed,1,0,0,1,0,1,1
S16,Mixed,0,0,0,1,1,1,0
S17,Mixed,1,0,1,1,0,1,1
S18,Mixed,1,0,0,1,1,1,1
S19,Mixed,1,0,1,1,0,1,0
S20,Mixed,1,0,0,1,0,1,1
S21,Sophisticated,0,0,0,0,0,0,0
S22,Sophisticated,0,0,0,0,1,0,1
S23,Sophisticated,0,0,0,0,0,0,0
S24,Sophisticated,0,0,0,0,0,0,0
S25,Sophisticated,0,0,0,0,0,0,0
S26,Sophisticated,0,0,0,1,0,0,0
S27,Sophisticated,0,0,0,0,0,1,0
S28,Sophisticated,0,0,0,0,0,0,0
S29,Sophisticated,0,0,0,0,0,0,0
S30,Sophisticated,0,0,0,0,0,0,0
